number,F_C,code_LWJ,last name,last name1,first name,name,string,line,sex,son-in-law,Gov._Exam,Grade,occupational_title,grade2,New_Grade,place of family origin,Final_place of family origin,Final_period,Birth_Year,Death_Year,Date_OT,father,grand_f,great_grand_f,great_great_grand_f,father_of_m,grand_father_of_mother,great_grand_father_of_mother,spouse1_familyname,spouse1_place of family origin,son_by_spouse1,daughter_by_spouse1,father_spouse1,grand_father_spouse1,great_grand_father_spouse1,father_of_mother_spouse1,grand_of_mother_spouse1,great_grand_father_of_mother_spouse1,spouse2_familyname,spouse2_place of family origin,son_by_spouse2,daughter_by_spouse2,father_spouse2,grand_father_spouse2,great_grand_father_spouse2,father_of_mother_spouse2,grand_mother_spouse2,great_grand_mother_spouse2,spouse3_familyname,spouse3_place of family origin,son_by_spouse3,daughter_by_spouse3,father_spouse3,grand_father_spouse3,great_grand_father_spouse3,mother_spouse3,grand_mother_spouse3,great_grand_mother_spouse3,spouse4_familyname,spouse4_place of family origin,son_by_spouse4,daughter_by_spouse4,father_spouse4,grand_father_spouse4,great_grand_father_spouse4,mother_spouse4,grand_mother_spouse4,great_grand_mother_spouse4,note,1g,2g,3g,4g,5g,6g,7g,8g,9g,10g,11g,12g,13g,14g,15g,16g,17g,18g,19g,20g,21g,22g,line,sex,son-in-law,period,generation,duplicates,q,last,When Last,q,q
25,25,6063,권,1,수홍,수홍,a 1 1 1 1 1 1 1 1 1 4,0,0,0,,1,부호장,12,,안동,안동,6,,,,권중시,권이여,권렴,권선개,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,,,,,,,,,,,,,0,0,0,7,10,,21,,20,1,0
26,26,6064,권,1,자여,자여,a 1 1 1 1 1 1 1 1 1 4 1,0,0,0,,8,검교대호군,3,,안동,안동,7,,,,권수홍,권중시,권이여,권렴,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,,,,,,,,,,,,0,0,0,8,11,,23,,20,0,0
27,27,6065,권,1,책,책,a 1 1 1 1 1 1 1 1 1 4 1 1,0,0,0,,9,첨의평리,2,,안동,안동,8,,,,권자여,권수홍,권중시,권이여,,,,권,,2,,권제,권규,권훤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,,,,,,0,0,0,9,12,,25,,20,0,0
28,28,6066,권,1,한공,한공,a 1 1 1 1 1 1 1 1 1 4 1 1 1,0,0,0,,10,도첨의정승 예천부원군,1,,안동,안동,9,,1349,1284,권책,권자여,권수홍,권중시,,,,채,평강,5,6,채모,,,,,,강,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,충선왕의 총신,1,1,1,1,1,1,1,1,1,4,1,1,1,,,,,,,,,,0,0,0,10,13,,27,,20,0,0
29,29,8829,권,1,한유,한유,a 1 1 1 1 1 1 1 1 1 4 1 1 2,0,0,0,,9,평장사,2,,안동,안동,9,,,,권책,권자여,권수홍,권중시,,,,서,이천,2,1,서익,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,1,2,,,,,,,,,,0,0,0,10,13,,27,,19,0,0
30,30,9173,권,1,윤평,윤평,a 1 1 1 1 1 1 1 1 1 4 1 2,0,0,0,,9,좌복야,2,,안동,안동,8,,,,권자여,권수홍,권중시,권이여,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,2,,,,,,,,,,,0,0,0,9,12,,25,,19,0,0
31,31,9174,권,1,구,구,a 1 1 1 1 1 1 1 1 1 4 1 2 1,0,0,0,,7,호군,4,,안동,안동,9,,,,권윤평,권자여,권수홍,권중시,,,,권,,1,1,권렬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,2,1,,,,,,,,,,0,0,0,10,13,,27,,19,0,0
32,32,9256,권,1,중,중,a 1 1 1 1 1 1 1 1 1 4 1 2 2,0,0,0,,4,중문지후,6,,안동,안동,9,,,,권윤평,권자여,권수홍,권중시,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,2,2,,,,,,,,,,0,0,0,10,13,,27,,19,1,0
33,33,9378,권,1,만,권만,a 1 1 1 1 1 1 1 1 1 4 1 2 3,0,1,1,문과,1,진사,11,,,,9,,,,,,,,,,,권,안동,1,,권윤평,권자여,권수홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,2,3,,,,,,,,,,1,1,1,10,13,,27,,17,1,0
34,34,9384,권,1,윤보,윤보,a 1 1 1 1 1 1 1 1 1 4 1 3,0,0,0,,4,중문지후,6,,안동,안동,8,,,,권자여,권수홍,권중시,권이여,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,3,,,,,,,,,,,0,0,0,9,12,,25,,19,1,0
