number,F_C,code_LWJ,last name,last name1,first name,name,string,line,sex,son-in-law,Gov._Exam,Grade,occupational_title,grade2,New_Grade,place of family origin,Final_place of family origin,Final_period,Birth_Year,Death_Year,Date_OT,father,grand_f,great_grand_f,great_great_grand_f,father_of_m,grand_father_of_mother,great_grand_father_of_mother,spouse1_familyname,spouse1_place of family origin,son_by_spouse1,daughter_by_spouse1,father_spouse1,grand_father_spouse1,great_grand_father_spouse1,father_of_mother_spouse1,grand_of_mother_spouse1,great_grand_father_of_mother_spouse1,spouse2_familyname,spouse2_place of family origin,son_by_spouse2,daughter_by_spouse2,father_spouse2,grand_father_spouse2,great_grand_father_spouse2,father_of_mother_spouse2,grand_mother_spouse2,great_grand_mother_spouse2,spouse3_familyname,spouse3_place of family origin,son_by_spouse3,daughter_by_spouse3,father_spouse3,grand_father_spouse3,great_grand_father_spouse3,mother_spouse3,grand_mother_spouse3,great_grand_mother_spouse3,spouse4_familyname,spouse4_place of family origin,son_by_spouse4,daughter_by_spouse4,father_spouse4,grand_father_spouse4,great_grand_father_spouse4,mother_spouse4,grand_mother_spouse4,great_grand_mother_spouse4,note,1g,2g,3g,4g,5g,6g,7g,8g,9g,10g,11g,12g,13g,14g,15g,16g,17g,18g,19g,20g,21g,22g,line,sex,son-in-law,period,generation,duplicates,q,last,When Last,q,q
5866,5849,5588,이,4,子,子,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 3 1 1 6,0,0,0,,0,,,,평창,평창,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,3,1,1,6,,1,0,0,15,21,,43,1,21,0,0
5867,5850,5589,이,4,의경,의경,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 3 2,1,0,0,,0,사정,7,,전주,전주,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,3,2,,,,1,0,0,14,19,,39,1,19,0,0
5868,5851,5590,이,4,효경,효경,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 3 3,0,0,0,,10,사정,7,,전주,전주,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,3,3,,,,1,0,0,14,19,,39,1,19,0,0
5869,5852,5591,이,4,담,담,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 4,0,0,0,,0,지돈녕도총제,2,,전주,전주,12,,,,,,,,,,,백,문경,1,0,백원구,,,노제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,4,,,,,1,0,0,13,18,,37,1,18,1,1
5870,5853,5592,이,4,회,회,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 5,0,0,0,,8,첨총제,2,,전주,전주,12,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,5,,,,,1,0,0,13,18,,37,,20,0,0
5871,5854,5593,이,4,보인,보인,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 5 1,0,0,0,,0,목사,3,,전주,전주,13,,,,,,,,,,,권,안동,2,1,권식,권현,권적,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,5,1,,,,1,0,0,14,19,,39,,20,1,0
5872,5855,5594,변,34,범,변범,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 5 1 1,1,1,1,,0,,,,,,14,,,,,,,,,,,이,전주,0,0,이보인,이회,이화,권식,권현,권적,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,5,1,1,,,1,1,1,15,20,,41,1,20,0,0
5873,5856,5595,이,4,해,해,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 5 1 2,0,0,0,,0,호군,4,,전주,전주,14,,,,,,,,,,,변,원주,0,0,변상근,변이,,박자유,박신,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,5,1,2,,,1,0,0,15,20,,41,1,20,0,0
5874,5857,5596,이,4,모,모,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 5 1 3,0,0,0,,0,화산군,25,2,전주,전주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,5,1,3,,,1,0,0,15,20,,41,1,20,0,0
5875,5858,5597,황,20,의헌,황의헌,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 5 2,0,1,1,,0,군수,4,,창원,창원,13,,,,,,,,,,,이,전주,0,0,이회,이화,이자춘,,노,김,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,5,2,,,,1,1,1,14,19,,39,1,19,0,0
5876,5859,5598,이,4,점,점,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 6,1,0,0,무출사,0,유후,25,2,전주,전주,12,,,,,,,,,,,이,한산,1,1,이종학,이색,이곡,이,,,변,원주,2,2,변이,,,남,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,6,,,,,1,0,0,13,18,,37,,19,0,0
5877,5860,5599,이,4,子,子,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 6 1,1,0,0,,10,,,,전주,전주,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,6,1,,,,1,0,0,14,19,,39,1,19,0,0
5878,5861,5600,최,15,주,최주,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7,0,1,1,,2,판사,1,,경주,경주,12,,,,,,,,,,,이,전주,2,1,이화,이자춘,이춘,노은,,,권,안동,,,권근,권희,권고,권부,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,,,,,1,1,1,13,18,,37,,21,1,0
5879,5862,5601,최,15,사청,사청,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1,1,0,0,,2,선전,9,,경주,경주,13,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,,,,1,0,0,14,19,,39,,21,0,0
5880,5863,5602,최,15,주손,주손,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 1,0,0,0,,0,부장,6,,경주,경주,14,,,,,,,,,,,권,안동,3,2,권첨,권천,권근,유우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,1,,,1,0,0,15,20,,41,,21,0,0
5881,5864,5603,최,15,원윤,원윤,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 1 1,0,0,0,,0,,,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,1,1,,1,0,0,15,21,,43,1,21,0,0
5882,5865,5604,최,15,형윤,형윤,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 1 2,0,0,0,,0,,,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,1,2,,1,0,0,15,21,,43,1,21,0,0
5883,5866,5605,최,15,이윤,이윤,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 1 3,0,0,0,,0,,,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,1,3,,1,0,0,15,21,,43,1,21,0,0
5884,5867,5606,최,15,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 1 4,1,1,0,,0,,,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,1,4,,1,1,0,15,21,,43,1,21,0,0
5885,5868,5607,최,15,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 1 5,0,1,0,,0,,,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,1,5,,1,1,0,15,21,,43,1,21,0,0
5886,5869,5608,권,1,경,권경,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 2,0,1,1,음서,8,영가군,2,,안동,안동,14,1429,1482,1448,권제,권근,권희,권고,이준,이사의,,최,경주,,,최사청,최주,,,,,김,연안,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,2,,,1,1,1,15,20,,41,1,20,0,0
5887,5870,5609,이,4,부,이부,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 3,0,1,1,,0,상장,3,,,,14,,,,,,,,,,,최,경주,2,2,최사청,최주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,3,,,1,1,1,15,20,,41,,21,1,0
5888,5871,5610,無,0,女夫,女夫,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 3 1,0,1,1,,0,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,3,1,,1,1,1,15,21,,43,1,21,0,0
5889,5872,5611,이,4,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 3 2,0,1,0,,0,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,3,2,,1,1,0,15,21,,43,1,21,0,0
5890,5873,5612,이,4,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 3 3,0,1,0,,0,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,3,3,,1,1,0,15,21,,43,1,21,0,0
5891,5874,5613,이,4,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 3 4,0,1,0,,0,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,3,4,,1,1,0,15,21,,43,1,21,0,0
5892,5875,5614,변,34,희철,변희철,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 1 4,1,1,1,,6,첨사,3,,원주,원주,14,,,,변정,변차희,변이,,손,,,최,경주,1,3,최사청,최주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,1,4,,,1,1,1,15,20,,41,1,20,0,0
5893,5876,5615,최,15,사후,사후,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2,0,0,0,,0,군사,5,,경주,경주,13,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,,,,1,0,0,14,19,,39,,21,1,0
5894,5877,5616,최,15,자빈,자빈,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 1,0,0,0,,0,감정,3,,경주,경주,14,,,,,,,,,,,안,죽산,2,0,안흔,안득수,안경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,1,,,1,0,0,15,20,,41,,21,0,0
5895,5878,5617,최,15,장손,장손,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 1 1,0,0,0,,0,봉사,8,,경주,경주,14,,,,,,,,,,,유,백천,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,1,1,,1,0,0,15,21,,43,1,21,0,0
5896,5879,5618,최,15,창순,창순,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 1 2,0,0,0,,0,충순,6,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,이름 최창순,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,1,2,,1,0,0,15,21,,43,1,21,0,0
5897,5880,5619,최,15,자영,자영,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 2,1,0,0,,5,,,,경주,경주,14,,,,,,,,,,,조,평양,0,0,조유신,조명초,조화,권영창,권집지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,2,,,1,0,0,15,20,,41,1,20,0,0
5898,5881,5620,안,43,극상,안극상,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 3,1,1,1,,6,통찬,6,,,,14,,,,,,,,,,,최,경주,0,0,최사후,최주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,3,,,1,1,1,15,20,,41,1,20,0,0
5899,5882,5621,최,15,자환,자환,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 4,0,0,0,,0,사직,5,,경주,경주,14,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,4,,,1,0,0,15,20,,41,,21,1,0
5900,5883,5622,최,15,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 4 1,0,1,0,,0,,,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,4,1,,1,1,0,15,21,,43,1,21,0,0
5901,5884,5623,최,15,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 4 2,0,1,0,,0,,,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,4,2,,1,1,0,15,21,,43,1,21,0,0
5902,5885,5624,최,15,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 4 3,1,1,0,,1,,,,경주,경주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,4,3,,1,1,0,15,21,,43,1,21,0,0
5903,5886,5625,노,6,신건,노신건,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 5,0,1,1,,0,별시,13,,장연,장연,14,,,,,,,,,,,최,경주,2,1,최사후,최주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,5,,,1,1,1,15,20,,41,,21,0,0
5904,5887,5626,노,6,子,子,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 5 1,1,0,0,,0,,,,장연,장연,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,5,1,,1,0,0,15,21,,43,1,21,0,0
5905,5888,5627,노,6,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 5 2,1,1,0,,0,,,,장연,장연,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,5,2,,1,1,0,15,21,,43,1,21,0,0
5906,5889,5628,노,6,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 2 5 3,1,1,0,,0,,,,장연,장연,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,2,5,3,,1,1,0,15,21,,43,1,21,0,0
5907,5890,5629,권,1,눌,권눌,a 1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 2 3 7 3,1,1,1,,4,부사,3,,안동,안동,13,,,,권충,권희,권고,권부,허진,허선,허관,최,경주,0,1,최주,,,이화,이자춘,이춘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,3,7,3,,,,1,1,1,14,19,,39,1,19,0,0
5908,5891,5633,이,4,천달,천달,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1,0,0,0,,5,별장,7,,벽진,벽진,11,,,,이희경,,,,왕서,왕순,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,,,,,,1,0,0,12,17,,35,,21,0,0
5909,5892,5634,이,4,후,후,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1,0,0,0,,1,현감,6,,벽진,벽진,12,,,,,,,,,,,최,화순,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,,,,,1,0,0,13,18,,37,,21,0,0
5910,5893,5635,이,4,종인,종인,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 1,0,0,0,문과,6,생원,11,,벽진,벽진,13,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,,,,1,0,0,14,19,,39,,21,0,0
5911,5894,5636,이,4,구경,구경,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 1 1,1,0,0,,0,별좌,5,,벽진,벽진,14,,,,,,,,,,,황,장수,2,1,황치신,황희,황군서,황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,,,1,0,0,15,20,,41,,21,1,0
5912,5895,5637,김,2,無,金,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 1 1 1,0,1,1,,0,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,,1,1,1,15,21,,43,1,21,0,0
5913,5896,5638,이,4,子,子,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 1 1 2,1,0,0,,0,,,,벽진,벽진,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,2,,1,0,0,15,21,,43,1,21,0,0
5914,5897,5639,이,4,子,子,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 1 1 3,1,0,0,,8,,,,벽진,벽진,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,3,,1,0,0,15,21,,43,1,21,0,0
5915,5898,5640,이,4,종례,종례,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 2,1,0,0,,8,상장,3,,벽진,벽진,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,2,,,,1,0,0,14,19,,39,1,19,1,0
5916,5899,5641,이,4,종신,종신,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 3,1,0,0,,6,호군,4,,벽진,벽진,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,3,,,,1,0,0,14,19,,39,1,19,1,0
5917,5900,5642,이,4,종간,종간,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 4,0,0,0,,8,사직,5,,벽진,벽진,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,4,,,,1,0,0,14,19,,39,1,19,1,0
5918,5901,5643,이,4,말진,말진,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 5,0,0,0,,1,첨지,3,,벽진,벽진,13,,,,,,,,,,,김,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,5,,,,1,0,0,14,19,,39,,20,1,0
5919,5902,5644,이,4,철균,철균,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 5 1,0,0,0,문과,7,동지,2,,벽진,벽진,14,1450,,1496,,,,,,,,여,성주,2,1,여간,여인보,,이중림,이사지,이희경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,5,1,,,1,0,0,15,20,,41,1,20,0,0
5920,5903,5645,권,1,효량,권효량,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 6,0,1,1,문과,0,사인,4,,안동,안동,13,,,1438,권자용,,,,이,,,이,벽진,1,0,이후,이천달,이희경,최,,,김,원주,0,0,김연지,긴을신,김득우,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,6,,,,1,1,1,14,19,,39,,20,1,0
5921,5904,5646,권,1,子,子,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 6 1,0,0,0,,0,,,,안동,안동,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,6,1,,,1,0,0,15,20,,41,1,20,0,0
5922,5905,5647,권,1,子,子,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 6 2,0,0,0,,0,,,,안동,안동,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,6,2,,,1,0,0,15,20,,41,1,20,0,0
5923,5906,5648,권,1,子,子,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 6 3,0,0,0,,1,,,,안동,안동,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,6,3,,,1,0,0,15,20,,41,1,20,0,0
5924,5907,5649,이,4,설,이설,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 2,0,1,1,문과,10,생원,11,,성주,성주,12,,,,,,,,,,,이,벽진,0,2,이천달,이희경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,,,,,1,1,1,13,18,,37,,20,0,0
5925,5908,5650,박,3,유,박유,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 2 1,0,1,1,문과,5,판사,1,,밀양,밀양,13,,,1429,,,,,,,,이,성주,0,0,이설,,,이천달,이희경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,,,,1,1,1,14,19,,39,1,19,1,1
5926,5909,5651,나,28,홍배,나홍배,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 2 2,0,1,1,,0,주부,6,,수성,수성,13,,,,나형지,,,,,,,이,성주,4,2,이설,,,이천달,이희경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,2,,,,1,1,1,14,19,,39,,20,0,0
5927,5910,5652,나,28,종,종,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 2 2 1,0,0,0,,0,,,,수성,수성,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,2,1,,,1,0,0,15,20,,41,1,20,0,0
5928,5911,5653,나,28,전,전,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 2 2 2,1,0,0,,0,,,,수성,수성,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,2,2,,,1,0,0,15,20,,41,1,20,0,0
5929,5912,5654,나,28,수,수,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 2 2 3,1,0,0,,0,,,,수성,수성,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,2,3,,,1,0,0,15,20,,41,1,20,0,0
5930,5913,5655,설,37,맹강,설맹강,a 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 2 2 4,1,1,1,,0,,,,순창,순창,14,,,,설성림,설석,,,,,,나,수성,0,1,나홍부,나형지,,이설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,2,4,,,1,1,1,15,20,,41,1,20,0,0
